"","state","year","e85","total","ratio_e85"
"459","Tennessee","2015",69,1086,6.353591160221
"460","Texas","2015",197,2864,6.87849162011173
"461","Utah","2015",3,417,0.719424460431655
"462","Vermont","2015",1,285,0.350877192982456
"463","Virginia","2015",18,892,2.01793721973094
"464","Washington","2015",21,1756,1.19589977220957
"465","West Virginia","2015",9,98,9.18367346938776
"466","Wisconsin","2015",156,670,23.2835820895522
"467","Wyoming","2015",11,98,11.2244897959184
"468","Total","2015",3012,43384,6.942651668818
"469","Alabama","2016",32,390,8.2051282051282
"470","Alaska","2016",0,13,0
"471","Arizona","2016",25,1254,1.99362041467305
"472","Arkansas","2016",44,203,21.6748768472906
"473","California","2016",119,14969,0.79497628432093
"474","Colorado","2016",88,1201,7.32722731057452
"475","Connecticut","2016",4,774,0.516795865633075
"476","Delaware","2016",1,80,1.25
"477","District of Columbia","2016",4,258,1.55038759689922
"478","Florida","2016",74,2429,3.0465212021408
"479","Georgia","2016",56,1736,3.2258064516129
"480","Hawaii","2016",2,587,0.340715502555366
"481","Idaho","2016",6,193,3.10880829015544
"482","Illinois","2016",263,1593,16.5097300690521
"483","Indiana","2016",200,821,24.3605359317905
"484","Iowa","2016",210,480,43.75
"485","Kansas","2016",21,813,2.5830258302583
"486","Kentucky","2016",72,294,24.4897959183673
"487","Louisiana","2016",11,242,4.54545454545455
"488","Maine","2016",0,204,0
"489","Maryland","2016",34,1227,2.77098614506927
"490","Massachusetts","2016",7,1331,0.525920360631104
"491","Michigan","2016",254,1535,16.5472312703583
"492","Minnesota","2016",314,1083,28.9935364727609
"493","Mississippi","2016",3,175,1.71428571428571
"494","Missouri","2016",92,1349,6.81986656782802
"495","Montana","2016",2,141,1.41843971631206
"496","Nebraska","2016",80,237,33.7552742616034
"497","Nevada","2016",20,557,3.59066427289048
"498","New Hampshire","2016",0,212,0
"499","New Jersey","2016",5,565,0.884955752212389
"500","New Mexico","2016",10,220,4.54545454545455
"501","New York","2016",79,1936,4.08057851239669
"502","North Carolina","2016",58,1366,4.24597364568082
"503","North Dakota","2016",43,80,53.75
"504","Ohio","2016",151,856,17.6401869158879
"505","Oklahoma","2016",29,407,7.12530712530713
"506","Oregon","2016",10,1416,0.706214689265537
"507","Pennsylvania","2016",41,897,4.57079152731327
"508","Rhode Island","2016",0,222,0
"509","South Carolina","2016",67,535,12.5233644859813
"510","South Dakota","2016",75,145,51.7241379310345
"511","Tennessee","2016",79,1216,6.49671052631579
"512","Texas","2016",193,3290,5.86626139817629
"513","Utah","2016",1,446,0.224215246636771
"514","Vermont","2016",1,398,0.251256281407035
"515","Virginia","2016",22,1139,1.9315188762072
"516","Washington","2016",21,2013,1.04321907600596
"517","West Virginia","2016",11,126,8.73015873015873
"518","Wisconsin","2016",151,734,20.5722070844687
"519","Wyoming","2016",10,129,7.75193798449612
"520","Total","2016",3095,54517,5.67712823522938
"521","Alabama","2017",39,489,7.97546012269939
"522","Alaska","2017",0,19,0
"523","Arizona","2017",21,1290,1.62790697674419
"524","Arkansas","2017",43,217,19.815668202765
"525","California","2017",147,17426,0.843567083668082
"526","Colorado","2017",91,1590,5.72327044025157
"527","Connecticut","2017",4,838,0.477326968973747
"528","Delaware","2017",1,115,0.869565217391304
"529","District of Columbia","2017",3,272,1.10294117647059
"530","Florida","2017",82,2802,2.92648108493933
"531","Georgia","2017",53,2120,2.5
"532","Hawaii","2017",2,646,0.309597523219814
"533","Idaho","2017",5,221,2.26244343891403
"534","Illinois","2017",270,1691,15.9668835008871
